email,nombre,apellido,empresa,ciudad,tipo
info@clinicatungurahua.com,Distinguido/a,miembro,Hospital Privado Tungurahua,Ambato,Hospital
contacto@hospitalduran.com,Distinguido/a,miembro,Hospital Duran,Ambato,Hospital
info@victoriagordillo.com,Distinguido/a,miembro,Centro Diagnostico Dra Victoria Gordillo,Guayaquil,Imagenología
contacto@clinicapanamericana.med.ec,Distinguido/a,miembro,Clinica Panamericana,Guayaquil,Clínica
info@realmedic.com.ec,Distinguido/a,miembro,Realmedic Clinica Especializada,Guayaquil,Clínica
contacto@famysalud.com.ec,Distinguido/a,miembro,Centro Medico FamySalud,Guayaquil,Centro Diagnóstico
info@veris.com.ec,Distinguido/a,miembro,Veris Laboratorios,Guayaquil,Laboratorio
contacto@mariagracia.ec,Distinguido/a,miembro,Medical Labs Maria Gracia,Guayaquil,Laboratorio
info@interlab.com.ec,Distinguido/a,miembro,Interlab Laboratorio,Guayaquil,Laboratorio
contacto@redima.med.ec,Distinguido/a,miembro,REDIMA Red Dispensarios Medicos,Guayaquil,Laboratorio
info@synlab.ec,Distinguido/a,miembro,SYNLAB Quito,Quito,Laboratorio
contacto@laboratorioscitylab.com.ec,Distinguido/a,miembro,Laboratorios Citylab,Quito,Laboratorio
info@grupoconsesa.com.ec,Distinguido/a,miembro,Grupo Consesa Laboratorio,Quito,Laboratorio
contacto@rvlaboratorioclinico.com.ec,Distinguido/a,miembro,RV Centro Especialidades Medicas,Quito,Laboratorio
info@laboratoriosma.com.ec,Distinguido/a,miembro,Laboratorios MA,Quito,Laboratorio
contacto@interhospital.com.ec,Distinguido/a,miembro,Interhospital Centro Imagenes,Guayaquil,Imagenología
info@ecografiasquitocenters.com,Distinguido/a,miembro,Ecografias Quito Centers,Quito,Imagenología
contacto@medinuclear.com.ec,Distinguido/a,miembro,Medinuclear Ecografia,Quito,Imagenología
info@laboratorionuevonorte.com,Distinguido/a,miembro,Laboratorio Nuevo Norte,Quito,Laboratorio
contacto@aprofe.org.ec,Distinguido/a,miembro,Aprofe Centro Medico,Quito,Centro Diagnóstico
info@clinicasanmarcos.com,Distinguido/a,miembro,Hospital San Marcos,Santo Domingo,Hospital
contacto@clinicaibarra.com,Distinguido/a,miembro,Clinica Ibarra,Ibarra,Clínica
info@hospitalesperanza.com.ec,Distinguido/a,miembro,Hospital Esperanza,Machala,Hospital
contacto@clinicaaguilar.com,Distinguido/a,miembro,Clinica Aguilar,Machala,Clínica
info@imeibarra.com,Distinguido/a,miembro,Instituto Medico Especialidades IME,Ibarra,Centro Diagnóstico
contacto@hospitalgsd.gob.ec,Distinguido/a,miembro,Hospital General Santo Domingo,Santo Domingo,Hospital
info@hospitalhlgd.gob.ec,Distinguido/a,miembro,Hospital Luis Gabriel Davila,Tulcan,Hospital
contacto@hgl.mspz3.gob.ec,Distinguido/a,miembro,Hospital General Latacunga,Latacunga,Hospital
info@clinicanovasalud.org,Distinguido/a,miembro,Clinica NovaSalud,Latacunga,Clínica
contacto@hbo.gob.ec,Distinguido/a,miembro,Hospital Pediatrico Baca Ortiz,Quito,Hospital
info@redsaludecuador.com,Distinguido/a,miembro,Red Salud Ecuador,Quito,Hospital
contacto@redmedica.com.ec,Distinguido/a,miembro,RedMedica Servicios Salud,Quito,Centro Diagnóstico
info@grupoemi.com,Distinguido/a,miembro,Grupo EMI Ecuador,Quito,Centro Diagnóstico
contacto@hcam.iess.gob.ec,Distinguido/a,miembro,Hospital Carlos Andrade Marin IESS,Quito,Hospital
info@hvcm.gob.ec,Distinguido/a,miembro,Hospital Vicente Corral Moscoso,Cuenca,Hospital
contacto@hospitalmunicipalcuenca.gob.ec,Distinguido/a,miembro,Hospital Municipal Cuenca,Cuenca,Hospital
info@hfib.gob.ec,Distinguido/a,miembro,Hospital del Nino Francisco Icaza,Guayaquil,Hospital
contacto@hgmontesinai.gob.ec,Distinguido/a,miembro,Hospital General Monte Sinai,Guayaquil,Hospital
info@hep.gob.ec,Distinguido/a,miembro,Hospital Especialidades Portoviejo,Portoviejo,Hospital
contacto@hee.gob.ec,Distinguido/a,miembro,Hospital Eugenio Espejo,Quito,Hospital
info@policiaecuador.gob.ec,Distinguido/a,miembro,Hospital Quito N1 Policia Nacional,Quito,Hospital
contacto@hospitalmilitar.mil.ec,Distinguido/a,miembro,Hospital Militar FFAA N1,Quito,Hospital
info@hospitalrobertogilbert.med.ec,Distinguido/a,miembro,Hospital Roberto Gilbert Pediatrico,Guayaquil,Hospital
contacto@hpas.gob.ec,Distinguido/a,miembro,Hospital Provincial Ambato Sur,Ambato,Hospital
info@hguasmosur.gob.ec,Distinguido/a,miembro,Hospital Guasmo Sur,Guayaquil,Hospital
contacto@hlgd.gob.ec,Distinguido/a,miembro,Hospital Luis Gabriel Davila Tulcan,Tulcan,Hospital
info@htdmachala.gob.ec,Distinguido/a,miembro,Hospital Teofilo Davila Machala,Machala,Hospital
contacto@hjca.gob.ec,Distinguido/a,miembro,Hospital Jose Carrasco Arteaga IESS,Cuenca,Hospital
info@imagenesalcivar.com,Distinguido/a,miembro,Imagenes Alcivar,Guayaquil,Imagenología
contacto@alcivarmedicalcenter.com,Distinguido/a,miembro,Alcivar Medical Center,Guayaquil,Centro Diagnóstico
info@radiologiaquito.com,Distinguido/a,miembro,Radiologia Quito Centro,Quito,Imagenología
contacto@imaradi.com,Distinguido/a,miembro,Medical Scan Imaradi,Quito,Imagenología
info@ecua-american.com,Distinguido/a,miembro,Ecua American,Quito,Hospital
contacto@laboratorialcivar.com,Distinguido/a,miembro,Laboratorio Alcivar,Guayaquil,Laboratorio
info@proaudio.ec,Distinguido/a,miembro,Proaudio Ecuador Audiologia,Cuenca,Centro Diagnóstico
contacto@bioimageneslab.com,Distinguido/a,miembro,Bioimageneslab Radiologia,Ambato,Imagenología
info@alphaimagen.com,Distinguido/a,miembro,Alpha Imagen,Quito,Imagenología
contacto@cedivalles.com,Distinguido/a,miembro,Centro Diagnostico Imagen Los Valles,Quito,Imagenología
info@leonesquitocentral.org,Distinguido/a,miembro,Hospital Club Leones Quito Central,Quito,Hospital
contacto@seri.org.ec,Distinguido/a,miembro,Sociedad Ecuatoriana Radiologia,Quito,Imagenología
info@cendiacq.com,Distinguido/a,miembro,Cendiacq Centro Ultrasonografia,Guayaquil,Imagenología
contacto@osteosalud.com.ec,Distinguido/a,miembro,Centro Diagnostico Osteosalud,Ambato,Centro Diagnóstico
info@optimagen.com.ec,Distinguido/a,miembro,Optimagen Centro Diagnostico,Ambato,Centro Diagnóstico
contacto@ambaimagenes.com,Distinguido/a,miembro,Ambaimagenes Centro Diagnostico,Ambato,Imagenología
info@ces.med.ec,Distinguido/a,miembro,Clinica Especialidades Sur,Quito,Clínica
contacto@clinicalospinos.com,Distinguido/a,miembro,Clinica Los Pinos,Quito,Clínica
info@clinicaprofamilia.com.ec,Distinguido/a,miembro,Clinica Profamilia,Quito,Clínica
contacto@oncoquito.com,Distinguido/a,miembro,Clinica Oncologia Quito,Quito,Clínica
info@consultoriospichincha.com,Distinguido/a,miembro,Consultorios Pichincha,Quito,Centro Diagnóstico
contacto@otorrinospichincha.ec,Distinguido/a,miembro,Otorrinos Pichincha,Quito,Centro Diagnóstico
info@facialdent.com,Distinguido/a,miembro,Facialdent Hospital Clinicas Pichincha,Quito,Centro Diagnóstico
contacto@dent.com.ec,Distinguido/a,miembro,Dent Clinica Dental,Quito,Centro Diagnóstico
info@hcsa.ec,Distinguido/a,miembro,Hospital Clinica San Agustin Loja,Loja,Hospital
contacto@cedilac.com.ec,Distinguido/a,miembro,Cedilac Centro Diagnostico,Loja,Centro Diagnóstico
info@cedimed.com.ec,Distinguido/a,miembro,Cedimed Centro Diagnostico,Loja,Centro Diagnóstico
contacto@radiologialoja.com,Distinguido/a,miembro,Radiologia Loja Centro,Loja,Imagenología
info@imaxloja.com,Distinguido/a,miembro,Imax Centro Imagen Loja,Loja,Imagenología
contacto@clinicasanjose.com.ec,Distinguido/a,miembro,Clinica San Jose Loja,Loja,Clínica
info@hospitalisidroloja.com,Distinguido/a,miembro,Hospital San Isidro Loja,Loja,Hospital
contacto@radiodiagnosticomachala.com,Distinguido/a,miembro,Radiodiagnostico Machala,Machala,Imagenología
info@centrodiagnosticomachala.com,Distinguido/a,miembro,Centro Diagnostico Machala,Machala,Centro Diagnóstico
contacto@imaxmachala.com,Distinguido/a,miembro,Imax Centro Imagen Machala,Machala,Imagenología
info@cedimachala.com,Distinguido/a,miembro,Cedi Centro Diagnostico Machala,Machala,Centro Diagnóstico
contacto@laboratoriosmachala.com,Distinguido/a,miembro,Laboratorios Machala,Machala,Laboratorio
info@clinicarenalmachala.com,Distinguido/a,miembro,Clinica Renal Machala,Machala,Clínica
contacto@radiologiacuenca.com,Distinguido/a,miembro,Radiologia Cuenca Centro,Cuenca,Imagenología
info@cedic.com.ec,Distinguido/a,miembro,Cedic Centro Diagnostico Cuenca,Cuenca,Centro Diagnóstico
contacto@imaxcuenca.com,Distinguido/a,miembro,Imax Centro Imagen Cuenca,Cuenca,Imagenología
info@centroimagencuenca.com,Distinguido/a,miembro,Centro Imagen Cuenca,Cuenca,Imagenología
contacto@diagnocuenca.com,Distinguido/a,miembro,Diagnocuenca Centro Diagnostico,Cuenca,Centro Diagnóstico
info@laboratoriosazuay.com,Distinguido/a,miembro,Laboratorios Azuay,Cuenca,Laboratorio
contacto@clinicarenalcuenca.com,Distinguido/a,miembro,Clinica Renal Cuenca,Cuenca,Clínica
info@radiologiaambato.com,Distinguido/a,miembro,Radiologia Ambato Centro,Ambato,Imagenología
contacto@centrodiagnosticoambato.com,Distinguido/a,miembro,Centro Diagnostico Ambato,Ambato,Centro Diagnóstico
info@laboratoriostungurahua.com,Distinguido/a,miembro,Laboratorios Tungurahua,Ambato,Laboratorio
contacto@tomografiaambato.com,Distinguido/a,miembro,Tomografia Ambato Centro,Ambato,Imagenología
info@resonanciaambato.com,Distinguido/a,miembro,Resonancia Magnetica Ambato,Ambato,Imagenología
contacto@ecografiaambato.com,Distinguido/a,miembro,Ecografia Ambato Centro,Ambato,Imagenología
info@radiologiaibarra.com,Distinguido/a,miembro,Radiologia Ibarra Centro,Ibarra,Imagenología
contacto@centrodiagnosticoibarra.com,Distinguido/a,miembro,Centro Diagnostico Ibarra,Ibarra,Centro Diagnóstico
info@laboratoriosimbabura.com,Distinguido/a,miembro,Laboratorios Imbabura,Ibarra,Laboratorio
contacto@imagenibarra.com,Distinguido/a,miembro,Imagen Diagnostica Ibarra,Ibarra,Imagenología
info@tomografiaibarra.com,Distinguido/a,miembro,Tomografia Ibarra Centro,Ibarra,Imagenología
contacto@resonanciaibarra.com,Distinguido/a,miembro,Resonancia Magnetica Ibarra,Ibarra,Imagenología
info@radiologiariobamba.com,Distinguido/a,miembro,Radiologia Riobamba Centro,Riobamba,Imagenología
contacto@centrodiagnosticoriobamba.com,Distinguido/a,miembro,Centro Diagnostico Riobamba,Riobamba,Centro Diagnóstico
info@laboratoriochimborazo.com,Distinguido/a,miembro,Laboratorio Chimborazo,Riobamba,Laboratorio
contacto@imagenriobamba.com,Distinguido/a,miembro,Imagen Diagnostica Riobamba,Riobamba,Imagenología
info@tomografiariobamba.com,Distinguido/a,miembro,Tomografia Riobamba Centro,Riobamba,Imagenología
contacto@ecografiariobamba.com,Distinguido/a,miembro,Ecografia Riobamba Centro,Riobamba,Imagenología
info@radiologiasantodomingo.com,Distinguido/a,miembro,Radiologia Santo Domingo,Santo Domingo,Imagenología
contacto@centrodiagnosticosantodomingo.com,Distinguido/a,miembro,Centro Diagnostico Santo Domingo,Santo Domingo,Centro Diagnóstico
info@laboratoriosantodomingo.com,Distinguido/a,miembro,Laboratorio Santo Domingo,Santo Domingo,Laboratorio
contacto@imagensantodomingo.com,Distinguido/a,miembro,Imagen Diagnostica Santo Domingo,Santo Domingo,Imagenología
info@tomografiasantodomingo.com,Distinguido/a,miembro,Tomografia Santo Domingo Centro,Santo Domingo,Imagenología
contacto@ecografiasantodomingo.com,Distinguido/a,miembro,Ecografia Santo Domingo Centro,Santo Domingo,Imagenología
info@radiologiamanta.com,Distinguido/a,miembro,Radiologia Manta Centro,Manta,Imagenología
contacto@centrodiagnosticomanta.com,Distinguido/a,miembro,Centro Diagnostico Manta,Manta,Centro Diagnóstico
info@laboratoriomanta.com,Distinguido/a,miembro,Laboratorio Manta,Manta,Laboratorio
contacto@imagenmanta.com,Distinguido/a,miembro,Imagen Diagnostica Manta,Manta,Imagenología
info@tomografiamanta.com,Distinguido/a,miembro,Tomografia Manta Centro,Manta,Imagenología
contacto@ecografiamanta.com,Distinguido/a,miembro,Ecografia Manta Centro,Manta,Imagenología
info@radiologiaportoviejo.com,Distinguido/a,miembro,Radiologia Portoviejo Centro,Portoviejo,Imagenología
contacto@centrodiagnosticoportoviejo.com,Distinguido/a,miembro,Centro Diagnostico Portoviejo,Portoviejo,Centro Diagnóstico
info@laboratorioportoviejo.com,Distinguido/a,miembro,Laboratorio Portoviejo,Portoviejo,Laboratorio
contacto@imagenportoviejo.com,Distinguido/a,miembro,Imagen Diagnostica Portoviejo,Portoviejo,Imagenología
info@radiologiaesmeraldas.com,Distinguido/a,miembro,Radiologia Esmeraldas Centro,Esmeraldas,Imagenología
contacto@centrodiagnosticoesmeraldas.com,Distinguido/a,miembro,Centro Diagnostico Esmeraldas,Esmeraldas,Centro Diagnóstico
info@laboratorioesmeraldas.com,Distinguido/a,miembro,Laboratorio Esmeraldas,Esmeraldas,Laboratorio
contacto@imagenemeraldas.com,Distinguido/a,miembro,Imagen Diagnostica Esmeraldas,Esmeraldas,Imagenología
info@radiologiaquevedo.com,Distinguido/a,miembro,Radiologia Quevedo Centro,Quevedo,Imagenología
contacto@centrodiagnosticoquevedo.com,Distinguido/a,miembro,Centro Diagnostico Quevedo,Quevedo,Centro Diagnóstico
info@laboratorioquevedo.com,Distinguido/a,miembro,Laboratorio Quevedo,Quevedo,Laboratorio
contacto@imagenquevedo.com,Distinguido/a,miembro,Imagen Diagnostica Quevedo,Quevedo,Imagenología
info@radiologiamilagro.com,Distinguido/a,miembro,Radiologia Milagro Centro,Milagro,Imagenología
contacto@centrodiagnosticomilagro.com,Distinguido/a,miembro,Centro Diagnostico Milagro,Milagro,Centro Diagnóstico
info@laboratoriomilagro.com,Distinguido/a,miembro,Laboratorio Milagro,Milagro,Laboratorio
contacto@imagenmilagro.com,Distinguido/a,miembro,Imagen Diagnostica Milagro,Milagro,Imagenología
info@radiologialatacunga.com,Distinguido/a,miembro,Radiologia Latacunga Centro,Latacunga,Imagenología
contacto@centrodiagnosticolatacunga.com,Distinguido/a,miembro,Centro Diagnostico Latacunga,Latacunga,Centro Diagnóstico
info@laboratoriolatacunga.com,Distinguido/a,miembro,Laboratorio Latacunga,Latacunga,Laboratorio
contacto@imagenlatacunga.com,Distinguido/a,miembro,Imagen Diagnostica Latacunga,Latacunga,Imagenología
info@radiologiatulcan.com,Distinguido/a,miembro,Radiologia Tulcan Centro,Tulcan,Imagenología
contacto@centrodiagnosticotulcan.com,Distinguido/a,miembro,Centro Diagnostico Tulcan,Tulcan,Centro Diagnóstico
info@laboratoriotulcan.com,Distinguido/a,miembro,Laboratorio Tulcan,Tulcan,Laboratorio
contacto@imagentulcan.com,Distinguido/a,miembro,Imagen Diagnostica Tulcan,Tulcan,Imagenología
info@radiologiababahoyo.com,Distinguido/a,miembro,Radiologia Babahoyo Centro,Babahoyo,Imagenología
contacto@centrodiagnosticobabahoyo.com,Distinguido/a,miembro,Centro Diagnostico Babahoyo,Babahoyo,Centro Diagnóstico
info@laboratoriobabahoyo.com,Distinguido/a,miembro,Laboratorio Babahoyo,Babahoyo,Laboratorio
contacto@imagenbabahoyo.com,Distinguido/a,miembro,Imagen Diagnostica Babahoyo,Babahoyo,Imagenología
consultas@clinicasantalucia.com.ec,Distinguido/a,miembro,Clinica Santa Lucia,Quito,Clínica
info@hospitalsaintjoseph.com.ec,Distinguido/a,miembro,Clinica Saint Joseph,Guayaquil,Clínica
gthsantamaria@gmail.com,Distinguido/a,miembro,Hospital Clinica Santa Maria,Quito,Hospital
centrodeespecialidades@funor.ec,Distinguido/a,miembro,FUNOR Centro Especialidades Medicas,Cuenca,Centro Diagnóstico
derivaciones@medicadelsur.med.ec,Distinguido/a,miembro,Clinica Medica del Sur,Cuenca,Clínica
info@cem.com.ec,Distinguido/a,miembro,CEM Centro Especialidades Medicas,Cuenca,Centro Diagnóstico
loorm@ccf.org,Distinguido/a,miembro,Cleveland Clinic Ecuador Representative,Quito,Hospital
viteric@ccf.org,Distinguido/a,miembro,Cleveland Clinic Ecuador Representative,Quito,Hospital
info@hagp.gob.ec,Distinguido/a,miembro,Hospital Abel Gilbert Ponton,Guayaquil,Hospital
contacto@clinicadelsol.com.ec,Distinguido/a,miembro,Clinica Del Sol,Quito,Clínica
info@centromedicoandino.com.ec,Distinguido/a,miembro,Centro Medico Andino,Quito,Centro Diagnóstico
contacto@hospitalnuevavida.com.ec,Distinguido/a,miembro,Hospital Nueva Vida,Guayaquil,Hospital
info@clinicadelasamericas.com.ec,Distinguido/a,miembro,Clinica de las Americas,Quito,Clínica
contacto@centrodiagnosticoelite.com.ec,Distinguido/a,miembro,Centro Diagnostico Elite,Guayaquil,Centro Diagnóstico
info@mediscan.com.ec,Distinguido/a,miembro,Mediscan Centro Diagnostico,Quito,Imagenología
contacto@laboratoriovida.com.ec,Distinguido/a,miembro,Laboratorio Vida,Cuenca,Laboratorio
info@clinicametropolitana.com.ec,Distinguido/a,miembro,Clinica Metropolitana,Quito,Clínica
contacto@centrosaludintegral.com.ec,Distinguido/a,miembro,Centro Salud Integral,Ambato,Centro Diagnóstico
info@imagenmedica.com.ec,Distinguido/a,miembro,Imagen Medica Centro,Guayaquil,Imagenología
contacto@diagnosticoavanzado.com.ec,Distinguido/a,miembro,Diagnostico Avanzado,Quito,Centro Diagnóstico
info@resonanciaecuador.com.ec,Distinguido/a,miembro,Resonancia Ecuador,Quito,Imagenología
contacto@laboratorioespecializado.com.ec,Distinguido/a,miembro,Laboratorio Especializado,Guayaquil,Laboratorio
info@centroradiologico.com.ec,Distinguido/a,miembro,Centro Radiologico Nacional,Quito,Imagenología
contacto@medicinanuclarecu.com.ec,Distinguido/a,miembro,Medicina Nuclear Ecuador,Quito,Medicina Nuclear
info@tomografiaecuador.com.ec,Distinguido/a,miembro,Tomografia Ecuador Centro,Guayaquil,Imagenología
contacto@ecografiacuenca.com.ec,Distinguido/a,miembro,Ecografia Cuenca Centro,Cuenca,Imagenología
info@mamografiaecuador.com.ec,Distinguido/a,miembro,Mamografia Ecuador Centro,Quito,Imagenología
contacto@ultrasonidoecuador.com.ec,Distinguido/a,miembro,Ultrasonido Ecuador,Guayaquil,Imagenología
info@centropetct.com.ec,Distinguido/a,miembro,Centro PET-CT Ecuador,Quito,Imagenología
