email,nombre,empresa,sector,ciudad
contactoempresarial@usfq.edu.ec,Distinguido/a representante,Universidad San Francisco de Quito,Universidades,Quito
alumni@usfq.edu.ec,Distinguido/a representante,Universidad San Francisco de Quito - Alumni,Universidades,Quito
jillapa@ripconciv.com,Distinguido/a representante,Ripconciv,Construcción,Quito
tesoreria@ripconciv.com,Distinguido/a representante,Ripconciv,Construcción,Quito
cfigueroa@ripconciv.com,Distinguido/a representante,Ripconciv,Construcción,Quito
compras@ripconciv.com,Distinguido/a representante,Ripconciv,Construcción,Quito
seleccionec@ripconciv.com,Distinguido/a representante,Ripconciv,Construcción,Quito
info@bancopichincha.com,Distinguido/a representante,Banco Pichincha,Banca,Quito
info@produbanco.com,Distinguido/a representante,Produbanco,Banca,Quito
info@bancodelpacifico.com,Distinguido/a representante,Banco del Pacífico,Banca,Guayaquil
info@bancoguayaquil.com,Distinguido/a representante,Banco de Guayaquil,Banca,Guayaquil
info@bancobolivariano.com,Distinguido/a representante,Banco Bolivariano,Banca,Guayaquil
info@bancoaustro.com,Distinguido/a representante,Banco del Austro,Banca,Cuenca
info@bancomachala.com,Distinguido/a representante,Banco de Machala,Banca,Machala
info@bancoloja.com,Distinguido/a representante,Banco de Loja,Banca,Loja
info@bancosolidario.com,Distinguido/a representante,Banco Solidario,Banca,Quito
info@bancoproamerica.com,Distinguido/a representante,Banco ProAmérica,Banca,Quito
info@cnt.gob.ec,Distinguido/a representante,CNT - Corporación Nacional de Telecomunicaciones,Telecomunicaciones,Quito
contacto@movistar.com.ec,Distinguido/a representante,Movistar Ecuador,Telecomunicaciones,Guayaquil
info@tuenti.com.ec,Distinguido/a representante,Tuenti Ecuador,Telecomunicaciones,Quito
info@coral.com.ec,Distinguido/a representante,Coral Hipermercados,Retail,Guayaquil
info@tia.com.ec,Distinguido/a representante,TIA,Retail,Guayaquil
info@aki.com.ec,Distinguido/a representante,AKI,Retail,Guayaquil
info@udla.edu.ec,Distinguido/a representante,Universidad de las Américas,Universidades,Quito
info@puce.edu.ec,Distinguido/a representante,Pontificia Universidad Católica del Ecuador,Universidades,Quito
info@ucuenca.edu.ec,Distinguido/a representante,Universidad de Cuenca,Universidades,Cuenca
info@uees.edu.ec,Distinguido/a representante,Universidad de Especialidades Espíritu Santo,Universidades,Guayaquil
info@utpl.edu.ec,Distinguido/a representante,Universidad Técnica Particular de Loja,Universidades,Loja
info@uce.edu.ec,Distinguido/a representante,Universidad Central del Ecuador,Universidades,Quito
info@uta.edu.ec,Distinguido/a representante,Universidad Técnica de Ambato,Universidades,Ambato
info@ups.edu.ec,Distinguido/a representante,Universidad Politécnica Salesiana,Universidades,Quito
info@dhl.com.ec,Distinguido/a representante,DHL Ecuador,Logística,Guayaquil
contacto@servientrega.com.ec,Distinguido/a representante,Servientrega Ecuador,Logística,Guayaquil
info@tramaco.com.ec,Distinguido/a representante,Tramaco,Logística,Guayaquil
info@fedex.com.ec,Distinguido/a representante,FedEx Ecuador,Logística,Guayaquil
info@ups.com.ec,Distinguido/a representante,UPS Ecuador,Logística,Quito
info@courierexpress.com.ec,Distinguido/a representante,Courier Express,Logística,Quito
info@equinoccial.com,Distinguido/a representante,Seguros Equinoccial,Seguros,Quito
info@segurossucre.fin.ec,Distinguido/a representante,Seguros Sucre,Seguros,Guayaquil
info@segurosbolivar.com.ec,Distinguido/a representante,Seguros Bolívar Ecuador,Seguros,Quito
info@segurosconfianza.com.ec,Distinguido/a representante,Seguros Confianza,Seguros,Quito
info@seguroscolonial.com.ec,Distinguido/a representante,Seguros Colonial,Seguros,Quito
info@sweaden.com.ec,Distinguido/a representante,Sweaden Seguros,Seguros,Quito
info@segurosunidos.com.ec,Distinguido/a representante,Seguros Unidos,Seguros,Quito
info@ace-seguros.com.ec,Distinguido/a representante,ACE Seguros,Seguros,Quito
contacto@uribe.com.ec,Distinguido/a representante,Uribe Schwarzkopf,Inmobiliarias,Quito
info@mutualista-pichincha.com,Distinguido/a representante,Mutualista Pichincha,Inmobiliarias,Quito
contacto@hipodromo.com.ec,Distinguido/a representante,Inmobiliaria Hipódromo,Inmobiliarias,Quito
info@gonzalezvilla.com.ec,Distinguido/a representante,González y Asociados,Inmobiliarias,Quito
info@pronaca.com,Distinguido/a representante,PRONACA,Alimentos y Bebidas,Quito
info@la-fabril.com.ec,Distinguido/a representante,La Fabril,Alimentos y Bebidas,Guayaquil
info@procesadora.com.ec,Distinguido/a representante,Procesadora Nacional,Alimentos y Bebidas,Guayaquil
info@arca.com.ec,Distinguido/a representante,Arca Continental Ecuador,Alimentos y Bebidas,Guayaquil
info@tesalia.com.ec,Distinguido/a representante,Tesalia Springs Company,Alimentos y Bebidas,Quito
info@cervecerianacional.ec,Distinguido/a representante,Cervecería Nacional,Alimentos y Bebidas,Guayaquil
info@pepsico.com.ec,Distinguido/a representante,PepsiCo Ecuador,Alimentos y Bebidas,Quito
info@unilever.com.ec,Distinguido/a representante,Unilever Ecuador,Alimentos y Bebidas,Guayaquil
info@indurama.com,Distinguido/a representante,Indurama,Manufactura,Cuenca
info@plasticaucho.com,Distinguido/a representante,Plasticaucho Industrial,Manufactura,Ambato
info@edesa.com.ec,Distinguido/a representante,EDESA,Manufactura,Quito
info@holcim.com.ec,Distinguido/a representante,Holcim Ecuador,Manufactura,Guayaquil
info@unacem.com.ec,Distinguido/a representante,UNACEM Ecuador,Manufactura,Guayaquil
info@adelca.com.ec,Distinguido/a representante,ADELCA,Manufactura,Quito
info@andec.com.ec,Distinguido/a representante,ANDEC,Manufactura,Guayaquil
info@ipac.com.ec,Distinguido/a representante,IPAC,Manufactura,Quito
info@elcomercio.com,Distinguido/a representante,Diario El Comercio,Medios de Comunicación,Quito
contacto@eluniverso.com,Distinguido/a representante,Diario El Universo,Medios de Comunicación,Guayaquil
info@teleamazonas.com,Distinguido/a representante,Teleamazonas,Medios de Comunicación,Quito
info@ecuavisa.com,Distinguido/a representante,Ecuavisa,Medios de Comunicación,Guayaquil
info@tctelevision.com,Distinguido/a representante,TC Televisión,Medios de Comunicación,Guayaquil
info@radioplatinum.com.ec,Distinguido/a representante,Radio Platinum,Medios de Comunicación,Quito
info@radioquito.com.ec,Distinguido/a representante,Radio Quito,Medios de Comunicación,Quito
info@eppetroecuador.ec,Distinguido/a representante,EP Petroecuador,Petróleo,Quito
info@petroamazonas.gob.ec,Distinguido/a representante,Petroamazonas EP,Petróleo,Quito
info@schlumberger.com.ec,Distinguido/a representante,Schlumberger Ecuador,Petróleo,Quito
info@halliburton.com.ec,Distinguido/a representante,Halliburton Ecuador,Petróleo,Guayaquil
contacto@limpiecitoecuador.com,Distinguido/a representante,Limpiecito Ecuador,Servicios de Limpieza,Quito
info@mrjones.com.ec,Distinguido/a representante,Mr. Jones Limpieza,Servicios de Limpieza,Guayaquil
contacto@intelca.com.ec,Distinguido/a representante,INTELCA,Servicios de Limpieza,Quito
info@personaltemps.com,Distinguido/a representante,Personal Temps,Servicios de Limpieza,Quito
info@ofilimpia.com,Distinguido/a representante,Ofilimpia,Servicios de Limpieza,Quito
contacto@liservitips.com,Distinguido/a representante,Liservitips,Servicios de Limpieza,Quito
info@veepsa.com,Distinguido/a representante,Veepsa,Servicios de Limpieza,Quito
contacto@jardinazuayo.fin.ec,Distinguido/a representante,Cooperativa Jardín Azuayo,Cooperativas,Cuenca
info@29deoctubre.fin.ec,Distinguido/a representante,Cooperativa 29 de Octubre,Cooperativas,Guayaquil
info@juventudecuatoriana.fin.ec,Distinguido/a representante,Cooperativa JEP,Cooperativas,Quito
info@oscus.fin.ec,Distinguido/a representante,Cooperativa Oscus,Cooperativas,Quito
info@andalucia.fin.ec,Distinguido/a representante,Cooperativa Andalucía,Cooperativas,Quito
info@cacpeco.fin.ec,Distinguido/a representante,Cooperativa CACPECO,Cooperativas,Quito
info@casacpe.fin.ec,Distinguido/a representante,Cooperativa CASACPE,Cooperativas,Quito
info@mushucruna.fin.ec,Distinguido/a representante,Cooperativa Mushuc Runa,Cooperativas,Ambato
info@codesarrollo.fin.ec,Distinguido/a representante,Cooperativa Codesarrollo,Cooperativas,Quito
contacto@policia-nacional.fin.ec,Distinguido/a representante,Cooperativa Policía Nacional,Cooperativas,Quito
info@deloitte.com.ec,Distinguido/a representante,Deloitte Ecuador,Consultoría,Quito
contacto@pwc.com.ec,Distinguido/a representante,PwC Ecuador,Consultoría,Quito
info@kpmg.com.ec,Distinguido/a representante,KPMG Ecuador,Consultoría,Quito
contacto@ey.com.ec,Distinguido/a representante,EY Ecuador,Consultoría,Quito
info@bdo.com.ec,Distinguido/a representante,BDO Ecuador,Consultoría,Quito
info@grant-thornton.com.ec,Distinguido/a representante,Grant Thornton Ecuador,Consultoría,Quito
info@quicentro.com,Distinguido/a representante,Quicentro Shopping,Retail - Centros Comerciales,Quito
info@elcondado.com.ec,Distinguido/a representante,El Condado Shopping,Retail - Centros Comerciales,Quito
info@cci.com.ec,Distinguido/a representante,Centro Comercial Iñaquito,Retail - Centros Comerciales,Quito
info@mdi.com.ec,Distinguido/a representante,Mall del Sol,Retail - Centros Comerciales,Guayaquil
info@malldelrio.com.ec,Distinguido/a representante,Mall del Río,Retail - Centros Comerciales,Cuenca
info@sanluisshopping.com.ec,Distinguido/a representante,San Luis Shopping,Retail - Centros Comerciales,Quito
info@aeropuertoquito.aero,Distinguido/a representante,Aeropuerto Internacional Mariscal Sucre,Transporte y Logística,Quito
contacto@tagsa.aero,Distinguido/a representante,Corporación Quiport,Transporte y Logística,Quito
info@aeropuertodeguayaquil.com.ec,Distinguido/a representante,Aeropuerto José Joaquín de Olmedo,Transporte y Logística,Guayaquil
info@tame.com.ec,Distinguido/a representante,TAME EP,Transporte y Logística,Quito
reservas@avianca.com.ec,Distinguido/a representante,Avianca Ecuador,Transporte y Logística,Quito
info@latam.com.ec,Distinguido/a representante,LATAM Airlines Ecuador,Transporte y Logística,Guayaquil
info@copa.com.ec,Distinguido/a representante,Copa Airlines Ecuador,Transporte y Logística,Guayaquil
info@unitrans.com.ec,Distinguido/a representante,Unitrans,Transporte Terrestre,Guayaquil
info@panamericana.com.ec,Distinguido/a representante,Cooperativa Panamericana,Transporte Terrestre,Ambato
info@aebe.com.ec,Distinguido/a representante,Asociación de Exportadores de Banano,Exportadores,Guayaquil
contacto@acorbanec.com,Distinguido/a representante,ACORBANEC,Exportadores,Guayaquil
info@expalsa.com,Distinguido/a representante,EXPALSA,Exportadores,Machala
info@reybanpac.com,Distinguido/a representante,Reybanpac,Exportadores,Guayaquil
info@ubesa.com,Distinguido/a representante,UBESA,Exportadores,Guayaquil
info@bananoexport.com.ec,Distinguido/a representante,Banano Export,Exportadores,Machala
contacto@pronanec.com,Distinguido/a representante,Asociación Nacional de Productores de Camarón,Exportadores,Guayaquil
info@omarsa.com,Distinguido/a representante,Omarsa,Exportadores,Guayaquil
contacto@sosa.com.ec,Distinguido/a representante,SOSA,Exportadores,Guayaquil
info@expoflores.com,Distinguido/a representante,Expoflores,Exportadores,Quito
info@florecal.com,Distinguido/a representante,Florecal,Exportadores,Quito
contacto@bellarosaquito.com,Distinguido/a representante,Bella Rosa,Exportadores,Quito
info@rosadex.com,Distinguido/a representante,Rosadex,Exportadores,Quito
info@negocios-industriales-real.com,Distinguido/a representante,NIRSA - Negocios Industriales Real,Exportadores,Guayaquil
info@ciauto.ec,Distinguido/a representante,CIAUTO,Automotriz,Guayaquil
contacto@metrocar.com.ec,Distinguido/a representante,Metrocar,Automotriz,Quito
info@casabaca.com,Distinguido/a representante,Casa Baca,Automotriz,Guayaquil
info@omnibus.com.ec,Distinguido/a representante,Ómnibus BB,Automotriz,Quito
info@toyotadelmundo.com,Distinguido/a representante,Toyota del Mundo,Automotriz,Quito
contacto@chevystar.com.ec,Distinguido/a representante,Chevystar,Automotriz,Guayaquil
info@importadora-tomebamba.com,Distinguido/a representante,Importadora Tomebamba,Automotriz,Cuenca
contacto@hyundai.com.ec,Distinguido/a representante,Neohyundai,Automotriz,Quito
info@ambacar.com.ec,Distinguido/a representante,Ambacar,Automotriz,Ambato
info@automotores.com.ec,Distinguido/a representante,Automotores Continental,Automotriz,Quito
info@banaecuador.fin.ec,Distinguido/a representante,BanEcuador,Banca,Guayaquil
info@cfn.fin.ec,Distinguido/a representante,Corporación Financiera Nacional,Banca,Quito
info@biess.fin.ec,Distinguido/a representante,BIESS,Banca,Quito
info@bce.fin.ec,Distinguido/a representante,Banco Central del Ecuador,Banca,Quito
info@conafips.gob.ec,Distinguido/a representante,CONAFIPS,Banca,Quito
info@farmaenlace.com.ec,Distinguido/a representante,Farmaenlace,Farmacéuticas,Quito
contacto@pharmacys.com.ec,Distinguido/a representante,Pharmacys,Farmacéuticas,Guayaquil
info@cruz-azul.com.ec,Distinguido/a representante,Cruz Azul,Farmacéuticas,Guayaquil
info@sana-sana.com.ec,Distinguido/a representante,Sana Sana,Farmacéuticas,Quito
info@farmacias-medicity.com.ec,Distinguido/a representante,Medicity,Farmacéuticas,Quito
contacto@econofarm.com.ec,Distinguido/a representante,Econofarm,Farmacéuticas,Guayaquil
info@pharmacy-plus.com.ec,Distinguido/a representante,Pharmacy Plus,Farmacéuticas,Quito
contacto@hospitales-metropolitano.com,Distinguido/a representante,Hospital Metropolitano,Salud,Quito
info@hospital-vozandes.com.ec,Distinguido/a representante,Hospital Vozandes,Salud,Quito
contacto@hospitalclinica-kennedy.com,Distinguido/a representante,Hospital Clínica Kennedy,Salud,Guayaquil
info@omni-hospital.com,Distinguido/a representante,Omni Hospital,Salud,Guayaquil
contacto@hospitalcarrion.com,Distinguido/a representante,Hospital Luis Vernaza,Salud,Guayaquil
info@axxis.com.ec,Distinguido/a representante,Axxis Hospital,Salud,Quito
contacto@hospitalquito.com,Distinguido/a representante,Hospital de los Valles,Salud,Quito
info@clinica-pichincha.com,Distinguido/a representante,Clínica Pichincha,Salud,Quito
contacto@clinica-guayaquil.com.ec,Distinguido/a representante,Clínica Guayaquil,Salud,Guayaquil
info@hospital-alcides-carrion.com.ec,Distinguido/a representante,Hospital Alcides Carrión,Salud,Guayaquil
info@iess.gob.ec,Distinguido/a representante,IESS - Instituto Ecuatoriano de Seguridad Social,Gobierno,Quito
contacto@msp.gob.ec,Distinguido/a representante,Ministerio de Salud Pública,Gobierno,Quito
info@senescyt.gob.ec,Distinguido/a representante,SENESCYT,Gobierno,Quito
contacto@sri.gob.ec,Administración Tributaria,Servicio de Rentas Internas,Gobierno,Quito
info@supercias.gob.ec,Distinguido/a representante,Superintendencia de Compañías,Gobierno,Quito
contacto@supertel.gob.ec,Distinguido/a representante,ARCOTEL,Gobierno,Quito
info@ambiente.gob.ec,Distinguido/a representante,Ministerio del Ambiente,Gobierno,Quito
contacto@turismo.gob.ec,Distinguido/a representante,Ministerio de Turismo,Gobierno,Quito
info@trabajo.gob.ec,Distinguido/a representante,Ministerio del Trabajo,Gobierno,Quito
contacto@aeade.net,Distinguido/a representante,AEADE - Asociación de Empresas Automotrices,Asociación,Quito
info@capeipi.org.ec,Distinguido/a representante,CAPEIPI - Cámara de la Pequeña Industria,Asociación,Quito
contacto@camara-industrias.com.ec,Distinguido/a representante,Cámara de Industrias de Guayaquil,Asociación,Guayaquil
info@camara-construccion-quito.ec,Distinguido/a representante,Cámara de la Construcción de Quito,Asociación,Quito
contacto@fedexpor.com,Distinguido/a representante,FEDEXPOR,Asociación,Guayaquil
info@aeie.org.ec,Distinguido/a representante,AEIE - Asociación de Empresas de Internet,Asociación,Quito
contacto@corpei.org.ec,Distinguido/a representante,CORPEI,Asociación,Guayaquil
info@anecafe.org.ec,Distinguido/a representante,ANECAFE,Asociación,Quito
contacto@anecacao.com,Distinguido/a representante,ANECACAO,Asociación,Guayaquil
info@micip.gob.ec,Distinguido/a representante,Ministerio de Producción,Gobierno,Quito
info@dibeal.com,Distinguido/a representante,Dibeal Importadora,Importadores,Quito
contacto@remecoecuador.com,Distinguido/a representante,REMECO,Importadores,Quito
info@importadoragb.com,Distinguido/a representante,Importadora GB Ecuador,Importadores,Guayaquil
contacto@impoex.ec,Distinguido/a representante,Impoex Logística,Importadores,Quito
info@callcenterecuador.com,Distinguido/a representante,Extremis Call Center Ecuador,BPO y Call Center,Quito
contacto@voipbusiness.com.ec,Distinguido/a representante,VOIP Business Contact Center,BPO y Call Center,Quito
info@gestionagtx.com,Distinguido/a representante,Gestiona GTX,BPO y Call Center,Guayaquil
contacto@cronix.com.ec,Distinguido/a representante,Cronix,BPO y Call Center,Quito
info@bangara.com.ec,Distinguido/a representante,Bangara,BPO y Call Center,Quito
contacto@6sen.com.ec,Distinguido/a representante,6 Sen Call Center,BPO y Call Center,Quito
cuentas@doptus.com,Distinguido/a representante,Doptus Agencia Marketing,Marketing y Publicidad,Quito
ventas@ecuapublicidad.com,Distinguido/a representante,ECUAPUBLICIDAD,Marketing y Publicidad,Quito
info@ecuapublicidad.com,Distinguido/a representante,ECUAPUBLICIDAD,Marketing y Publicidad,Quito
contacto@altitude.ec,Distinguido/a representante,Altitude Marketing Digital,Marketing y Publicidad,Guayaquil
ecuapromo@gmail.com,Distinguido/a representante,ECUApromo,Marketing y Publicidad,Guayaquil
info@ecualink.com.ec,Distinguido/a representante,Grupo EcuaLink,Marketing y Publicidad,Guayaquil
contacto@medium-multimedia.com,Distinguido/a representante,MEDIUM Multimedia,Marketing y Publicidad,Quito
info@kfc.com.ec,Distinguido/a representante,KFC Ecuador,Restaurantes,Quito
contacto@mcdonalds.com.ec,Distinguido/a representante,McDonald's Ecuador,Restaurantes,Guayaquil
info@pizzahut.com.ec,Distinguido/a representante,Pizza Hut Ecuador,Restaurantes,Quito
contacto@dominos.com.ec,Distinguido/a representante,Domino's Pizza Ecuador,Restaurantes,Quito
info@burgerking.com.ec,Distinguido/a representante,Burger King Ecuador,Restaurantes,Guayaquil
contacto@juan-valdez.com.ec,Distinguido/a representante,Juan Valdez Café Ecuador,Restaurantes,Quito
info@sweet-coffee.com.ec,Distinguido/a representante,Sweet & Coffee,Restaurantes,Quito
contacto@crepes-waffles.com.ec,Distinguido/a representante,Crepes & Waffles Ecuador,Restaurantes,Quito
info@tonyromaecuador.com,Distinguido/a representante,Tony Roma's Ecuador,Restaurantes,Quito
ventas@importadora-arellano.com,Distinguido/a representante,Importadora Arellano,Restaurantes - Proveedores,Quito
info@3m.com.ec,Distinguido/a representante,3M Ecuador,Manufactura,Quito
contacto@colgate.com.ec,Distinguido/a representante,Colgate-Palmolive Ecuador,Manufactura,Guayaquil
info@johnson-johnson.com.ec,Distinguido/a representante,Johnson & Johnson Ecuador,Manufactura,Quito
contacto@procter-gamble.com.ec,Distinguido/a representante,Procter & Gamble Ecuador,Manufactura,Guayaquil
info@kimberly-clark.com.ec,Distinguido/a representante,Kimberly-Clark Ecuador,Manufactura,Guayaquil
contacto@sc-johnson.com.ec,Distinguido/a representante,SC Johnson Ecuador,Manufactura,Quito
info@henkel.com.ec,Distinguido/a representante,Henkel Ecuador,Manufactura,Quito
contacto@bayer.com.ec,Distinguido/a representante,Bayer Ecuador,Farmacéuticas,Quito
info@pfizer.com.ec,Distinguido/a representante,Pfizer Ecuador,Farmacéuticas,Quito
contacto@gsk.com.ec,Distinguido/a representante,GlaxoSmithKline Ecuador,Farmacéuticas,Quito
